Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
1994:Q2,56.14,63.73,74.00,107.23,112.84,51.18,52.84,53.62,54.95,42.54,29.18,81.98,142.34,127.16,56.03,49.60,55.92,51.34,56.14,64.87,54.77,87.82,97.55,87.26,131.11,97.77
1994:Q3,56.98,64.37,74.04,106.89,113.03,50.38,52.83,52.53,54.38,42.41,29.38,80.34,142.06,124.91,55.87,51.87,57.81,52.71,55.79,64.66,55.28,85.46,98.78,86.12,134.44,97.44
1994:Q4,56.16,64.88,74.41,105.73,113.46,50.96,52.07,51.82,54.47,42.45,29.61,79.80,141.32,124.17,55.67,50.20,59.11,54.00,54.49,64.45,54.89,85.40,101.44,87.90,137.86,97.35
1995:Q1,56.35,65.19,73.88,103.68,113.75,51.76,52.13,51.14,54.29,42.04,29.51,79.23,141.26,122.07,54.59,49.95,59.41,54.37,54.80,64.53,54.93,96.01,106.91,95.01,141.40,96.53
1995:Q2,55.35,65.80,72.34,102.30,113.69,53.12,51.86,51.44,53.90,41.90,30.15,78.24,141.11,119.60,54.87,50.46,60.23,54.63,54.84,65.02,54.53,95.88,109.59,97.46,144.29,95.76
1995:Q3,55.25,66.29,71.62,100.63,113.38,54.59,51.82,50.31,53.25,41.03,31.10,77.18,140.41,117.07,54.95,51.24,61.56,55.86,53.76,65.74,54.34,100.26,113.11,97.29,146.45,95.50
1995:Q4,54.69,67.14,71.41,98.88,113.14,56.49,52.37,50.30,53.35,40.95,31.91,75.83,139.66,116.10,55.50,51.58,61.17,58.02,53.06,66.11,53.75,101.67,116.51,94.86,147.69,95.32
1996:Q1,54.28,67.08,70.71,97.06,113.42,57.08,52.04,50.71,53.57,41.41,32.51,74.72,139.02,114.65,56.96,53.11,62.48,60.65,53.51,66.54,53.95,102.38,120.03,89.37,148.21,95.06
1996:Q2,54.67,67.46,69.86,95.98,113.18,57.49,51.10,51.88,53.72,40.78,33.59,73.25,137.99,112.18,57.63,54.48,63.48,61.41,53.83,66.01,52.99,103.26,123.66,86.71,147.44,94.96
1996:Q3,54.96,67.38,69.25,95.17,112.57,59.06,50.85,52.13,54.42,41.34,34.58,71.71,137.39,110.61,58.02,56.23,65.34,61.31,54.10,66.00,52.06,101.66,119.49,85.55,145.76,94.25
1996:Q4,54.63,67.43,68.55,93.31,111.70,61.43,51.28,53.19,54.26,42.56,36.00,70.22,136.71,110.24,58.42,57.18,66.32,62.53,54.60,66.22,50.67,101.48,120.70,85.25,143.68,94.14
1997:Q1,54.95,67.35,68.96,92.12,110.51,62.95,50.89,54.82,52.39,43.28,37.08,68.33,136.29,110.49,58.29,58.43,65.53,63.74,55.63,66.54,50.66,103.32,122.33,86.08,141.98,94.36
1997:Q2,55.55,68.19,69.55,91.60,110.05,63.70,51.94,56.97,53.72,43.40,38.75,67.41,133.90,109.61,59.10,59.70,68.15,64.52,56.64,66.72,51.21,101.69,124.45,86.49,140.34,94.75
1997:Q3,56.59,68.49,72.44,91.37,108.64,64.97,51.74,58.39,53.62,44.60,40.76,67.18,133.40,108.12,58.91,60.97,70.08,64.32,57.28,67.43,53.27,104.87,125.95,86.93,138.90,95.60
1997:Q4,57.27,69.41,72.31,90.87,108.22,65.85,50.80,59.53,53.64,45.24,43.27,66.95,133.06,105.67,59.68,61.85,70.50,64.72,57.90,68.25,54.61,102.19,124.33,87.91,137.33,95.92
1998:Q1,58.52,70.33,72.86,90.90,108.42,66.77,51.84,61.36,53.06,46.58,46.86,67.19,132.76,99.02,59.05,62.97,71.05,64.12,59.89,69.33,56.03,98.74,123.29,89.91,133.69,95.72
1998:Q2,59.40,71.02,72.76,90.63,108.02,68.66,53.35,62.83,54.05,48.38,49.19,67.30,132.36,92.71,60.13,64.49,72.77,62.08,61.39,69.62,55.83,101.28,121.86,90.61,131.07,96.39
1998:Q3,59.55,72.38,72.57,90.46,107.71,69.72,54.39,63.73,54.99,49.43,51.54,67.10,132.11,90.70,60.38,66.42,72.57,60.50,62.66,70.36,55.81,104.52,119.52,90.31,127.80,97.36
